ticker;company_BC;tickersect;sector;;;;;;
AXAS;Abraxas Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AE;Adams Resources & Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AAV;Advantage Oil & Gas Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AFRNF;Afren PLC;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AOIFF;Africa Oil Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALME;Alamo Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AOSDF;Alberta Oilsands Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALGA;Algae International Group Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALJ;Alon USA Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALDW;Alon USA Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ATGFF;AltaGas Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALVOF;Alvopetro Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OREO;American Liberty Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AMZG;American Eagle Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AAPH;American Petro-Hunter Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ASEN;American Standard Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
APC;Anadarko Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AMCF;Andatee China Marine Fuel Services Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AR;Antero Resources Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
APA;Apache Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AREX;Approach Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AETUF;Arc Resources Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ANGYF;Argent Energy Trust Un;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AOIL;Armada Oil Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AEYIF;Arsenal Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ATHOF;Athabasca Oil Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ARP.PD;Atlas Resource Partners L.P. 8.625% Cum. Redeem. Perp. Pfd. Cl D;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ARP;Atlas Resource Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ATXDY;AusTex Oil Ltd. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AUTX;Automated-X Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
