Id;ticker_BCh;company_BCh;tickersect;sector;Market CapFV;ExchangeFV;Country
5739;PIH;1347 Property Insurance Holdings Inc.;DJUSIP;PROPERTY & CASUALTY INSURANCE;50.37;NASDAQ;USA
2841;FLWS;1-800-FLOWERS.COM Inc. Cl A;DJUSRS;SPECIALTY RETAILERS;509.68;NASDAQ;USA
2734;FCCY;1st Constitution Bancorp;DJUSBK;BANKS;75.69;NASDAQ;USA
6896;SRCE;1st Source Corp.;DJUSBK;BANKS;694.14;NASDAQ;USA
2912;FOXA;21st Century Fox Inc. Cl A;DJUSBC;BROADCASTING & ENTERTAINMENT;71927.94;NASDAQ;USA
2911;FOX;21st Century Fox Inc. Cl B;DJUSBC;BROADCASTING & ENTERTAINMENT;;;
7800;VNET;21Vianet Group Inc. ADS;DJUSNS;INTERNET;;;
8166;XXII;22nd Century Group Inc.;DJUSBT;BIOTECHNOLOGY;;;
7515;TWOU;2U Inc.;DJUSSW;SOFTWARE;722.04;NASDAQ;USA
880;BDCL;2xLeveraged Long E-TRACS Linked to Wells Fargo Business Development Co. Index 052441;DJUSBK;BANKS;22.72;NYSE;USA
7195;TDEY;3D Eye Solutions Inc.;DJUSBC;BROADCASTING & ENTERTAINMENT;;;
2228;DPSM;3D Pioneer Systems Inc.;DJUSSW;SOFTWARE;;;
2077;DDD;3D Systems Corp.;DJUSCR;COMPUTER HARDWARE;4074.73;NYSE;USA
7193;TDCP;3DIcon Corp.;DJUSSW;SOFTWARE;;;
2079;DDDX;3DX Industries Inc.;DJUSMD;GENERAL MINING;;;
4785;MMM;3M Co.;DJUSID;DIVERSIFIED INDUSTRIALS;96281.86;NYSE;USA
7386;TPNL;3Pea International Inc.;DJUSFA;FINANCIAL ADMINISTRATION;;;
2909;FOUR;4Licensing Corp.;DJUSBC;BROADCASTING & ENTERTAINMENT;;;
7911;WBAI;500.com Ltd. ADS;DJUSCA;GAMBLING;;;
4063;JOBS;51job Inc. ADS;DJUSBE;BUSINESS TRAINING & EMPLYMENT;;;
8098;WUBA;58.com Inc. ADS;DJUSCS;SPECIALIZED CONSUMER SERVICES;;;
813;BARZ;5Barz International Inc.;DJUSCT;TELECOMMUNICATIONS EQUIPMENT;;;
6684;SIXD;6D Global Technologies Inc.;DJUSDV;COMPUTER SERVICES;;;
