DJUSEN;DJUSOG;T0530P;DJUSOS;DJUSOS;EXPLORATION & PRODUCTION 
SXEP;T0530P;T0530P;DJUSOS;DJUSOS;EXPLORATION & PRODUCTION 
DJUSEN;DJUSOG;T0530P;T0530P;DJUSOL;INTEGRATED OIL & GAS
SXEP;T0530P;T0530P;T0530P;DJUSOL;INTEGRATED OIL & GAS
DJUSEN;DJUSOQ;T0570P;DJUSOI;DJUSOI;OIL EQUIPMENT & SERVICES
SXEP;T0570P;T0570P;DJUSOI;DJUSOI;OIL EQUIPMENT & SERVICES
DJUSEN;DJUSOQ;DJUSPL;DJUSPL;DJUSPL;PIPELINES
SXEP;T0570P;DJUSPL;DJUSPL;DJUSPL;PIPELINES
DJUSEN;DJUSEN;T0583P;T0583P;DJUSEN;RENEWABLE ENERGY EQUIPMENT
SXEP;T0580P;T0583P;T0583P;DJUSEN;RENEWABLE ENERGY EQUIPMENT
DJUSEN;DJUSEN;T0583P;T0583P;DJUSEN;ALTERNATIVE FUELS
SXEP;SXEP;T0583P;T0583P;DJUSEN;ALTERNATIVE FUELS
DJUSCH;DJUSCH;SX4E;DJUSCC;DJUSCC;COMMODITY CHEMICALS
SX4P;SX4P;SX4E;DJUSCC;DJUSCC;COMMODITY CHEMICALS
DJUSBS;DJUSFR;SIPFRP;DJUSFS;DJUSFS;FORESTRY
SXPP;SIPFRP;SIPFRP;DJUSFS;DJUSFS;FORESTRY
DJUSBS;DJUSFR;SIPFRP;SIPFRP;DJUSPP;PAPER
SXPP;SIPFRP;SIPFRP;SIPFRP;DJUSPP;PAPER
DJUSBS;DJUSIM;T1750P;DJUSAL;DJUSAL;ALLUMINIUM
SXPP;T1750P;T1750P;DJUSAL;DJUSAL;ALLUMINIUM
DJUSBS;DJUSIM;T1750P;DJUSNF;DJUSNF;NONFERROUS METALS
SXPP;T1750P;T1750P;DJUSNF;DJUSNF;NONFERROUS METALS
DJUSBS;DJUSIM;T1750P;T1750P;DJUSST;IRON & STEEL
SXPP;T1750P;T1750P;T1750P;DJUSST;IRON & STEEL
DJUSBS;DJUSMG;DJUSCL;DJUSCL;DJUSCL;COAL
