Oil & Gas Index;DJUSEN;;;
Chemicals Index;DJUSCH;;;
Basic Resources Index;DJUSBS;;;
Construction & Materials Index;DJUSCN;;;
Industrial Goods & Services Index;DJUSIG;;;
Automobiles & Parts Index;DJUSAP;;;
Food & Beverage Index;DJUSFB;;;
Personal & Household Goods Index;DJUSNG;;;
Health Care Index;DJUSHC;;;
Retail Index;DJUSRT;;;
Media Index;DJUSME;;;
Travel & Leisure Index;DJUSCG;;;
Telecommunications Index;DJUSTL;;;
Utilities Index;DJUSUT;;;
Banks Index;DJUSBK;;;
Insurance Index;DJUSIR;;;
Real Estate Index;DJUSRE;;;
Financial Services Index;DJUSFI;;;
Technology Index;DJUSTC;;;
