DJUSEN;Oil & Gas Producers    ;DJUSOG;;
DJUSEN;Oil Equipment, Services & Distribution Index;DJUSOQ;;
DJUSCH;Chemicals Index;DJUSCH;;
DJUSBS;Forestry & Paper Index;DJUSFR;;
DJUSBS;Industrial Metals & Mining Index;DJUSIM;;
DJUSBS;Mining Index;DJUSMG;;
DJUSCN;Construction & Materials Index;DJUSCN;;
DJUSIG;Aerospace & Defense Index;DJUSAE;;
DJUSIG;General Industrials Index;DJUSGI;;
DJUSIG;Electronic & Electrical Equipment Index;DJUSEE;;
DJUSIG;Industrial Engineering Index;DJUSIQ;;
DJUSIG;Industrial Transportation Index;DJUSIT;;
DJUSIG;Support Services Index;DJUSIS;;
DJUSAP;Automobiles & Parts Index;DJUSAP;;
DJUSFB;Beverages Index;DJUSBV;;
DJUSFB;Food Producers Index;DJUSFO;;
DJUSNG;Household Goods & Home Construction Index;DJUSHG;;
DJUSNG;Leisure Goods Index;DJUSLE;;
DJUSNG;Personal Goods Index;DJUSPG;;
DJUSNG;Tobacco Index;DJUSTB;;
DJUSHC;Health Care Equipment & Services Index;DJUSMC;;
DJUSHC;Pharmaceuticals & Biotechnology Index;DJUSPN;;
DJUSRT;Food & Drug Retailers Index;DJUSDR;;
DJUSRT;General Retailers Index;DJUSGT;;
DJUSME;Media Index;DJUSME;;
DJUSCG;Travel & Leisure Index;DJUSCG;;
DJUSTL;Fixed Line Telecommunications Index;DJUSFC;;
DJUSTL;Mobile Telecommunications Index;DJUSWC;;
DJUSUT;Electricity Index;DJUSEU;;
DJUSUT;Gas, Water & Multiutilities Index;DJUSUO;;
DJUSBK;Banks Index;DJUSBK;;
DJUSIR;Nonlife Insurance Index;DJUSIX;;
DJUSIR;Life Insurance Index;DJUSIL;;
DJUSRE;Real Estate Investment & Services;DJUSRH;;
DJUSRE;Real Estate Investment Trusts Index;DJUSRI;;
DJUSFI;Financial Services Index;DJUSGF;;
DJUSTC;Software & Computer Services Index;DJUSSV;;
DJUSTC;Technology Hardware & Equipment Index;DJUSTQ;;
