Oil & Gas Index;SXEP;;;
Chemicals Index;SX4P;;;
Basic Resources Index;SXPP;;;
Construction & Materials Index;SXOP;;;
Industrial Goods & Services Index;SXNP;;;
Automobiles & Parts Index;SXAP;;;
Food & Beverage Index;SX3P;;;
Personal & Household Goods Index;SXQP;;;
Health Care Index;SXDP;;;
Retail Index;SXRP;;;
Media Index;SXMP;;;
Travel & Leisure Index;SXTP;;;
Telecommunications Index;SXKP;;;
Utilities Index;SX6P;;;
Banks Index;SX7P;;;
Insurance Index;SXIP;;;
Real Estate Index;SX86P;;;
Financial Services Index;SXFP;;;
Technology Index;SX8P;;;
