SXEP;Oil & Gas Producers                  ;T0530P;;
SXEP;Oil Equipment, Services & Distribution Index;T0570P;;
SXEP;Alternative Energy;T0580P;;
SX4P;Chemicals Index;SX4P;;
SXPP;Forestry & Paper Index;SIPFRP;;
SXPP;Industrial Metals & Mining Index;T1750P;;
SXPP;Mining Index;T1770P;;
SXOP;600 Construction & Materials Index;SXOP;;
SXNP;Aerospace & Defense Index;SXPARO;;
SXNP;General Industrials Index;T2720P;;
SXNP;Electronic & Electrical Equipment Index;T2730P;;
SXNP;Industrial Engineering Index;SXPIEQ;;
SXNP;Industrial Transportation Index;SIPTRA;;
SXNP;Support Services Index;SXPSVC;;
SXAP;600 Automobiles & Parts Index;SXAP;;
SX3P;Beverages Index;SIPBVG;;
SX3P;Food Producers Index;SXEFOA;;
SXQP;Household Goods & Home Construction Index;T3720P;;
SXQP;Leisure Goods Index;T3740P;;
SXQP;Personal Goods Index;T3760P;;
SXQP;Tobacco Index;T3780P;;
SXDP;Health Care Equipment & Services Index;T4530P;;
SXDP;Pharmaceuticals & Biotechnology Index;T4570P;;
SXRP;Food & Drug Retailers Index;T5330P;;
SXRP;General Retailers Index;T5370P;;
SXMP;Media Index;SXMP;;
SXTP;Travel & Leisure Index;SXTP;;
SXKP;Fixed Line Telecommunications Index;SIPFTS;;
SXKP;Mobile Telecommunications Index;SIPCTS;;
SX6P;Electricity Index;SXPELC;;
SX6P;Gas, Water & Multiutilities Index;T7570P;;
SX7P;Banks Index;SX7P;;
SXIP;Nonlife Insurance Index;T8530P;;
SXIP;Life Insurance Index;T8570P;;
SX86P;Real Estate Investment & Services;T8630P;;
SX86P;Real Estate Investment Trusts Index;T8670P;;
SXFP;Financial Services Index;SXFP;;
SX8P;Software & Computer Services Index;T9530P;;
SX8P;Technology Hardware & Equipment Index;T9570P;;
