;TickSect;TickSubSect;NomSubSect;
SXEP;T0530P;T0530P;EXPLORATION & PRODUCTION ;
SXEP;T0530P;T0530P;INTEGRATED OIL & GAS;
SXEP;T0570P;T0570P;OIL EQUIPMENT & SERVICES;
SXEP;T0570P;DJUSPL;PIPELINES;
SXEP;T0580P;T0583P;RENEWABLE ENERGY EQUIPMENT;
SXEP;SXEP;T0583P;ALTERNATIVE FUELS;
SX4P;SX4P;SX4E;COMMODITY CHEMICALS;
SXPP;SIPFRP;SIPFRP;FORESTRY;
SXPP;SIPFRP;SIPFRP;PAPER;
SXPP;T1750P;T1750P;ALLUMINIUM;
SXPP;T1750P;T1750P;NONFERROUS METALS;
SXPP;T1750P;T1750P;IRON & STEEL;
SXPP;T1770P;DJUSCL;COAL;
SXPP;T1770P;T1770P;DIAMONDS & GEMSTONES;
SXPP;T1770P;T1770P;GENERAL MINING;
SXPP;T1770P;T1770P;GOLD MINING;
SXPP;T1770P;T1770P;PLATINUM & PRECIOUS METALS;
SXOP;SXOP;BCNP;BUILDING MATERIALS & FIXTURES;
SXOP;SXOP;BCNP;HEAVY CONSTRUCTION;
SXNP;SXPARO;SXPARO;AEROSPACE;
SXNP;SXPARO;SXPARO;DEFENSE;
SXNP;T2720P;T2720P;CONTAINERS & PACKAGING;
SXNP;T2720P;T2720P;DIVERSIFIED INDUSTRIALS;
SXNP;T2730P;T2730P;ELECTRICAL COMPONENTS & EQUIPMENT;
SXNP;T2730P;T2730P;ELECTRONIC EQUIPMENT;
SXNP;SXPIEQ;SXPIEQ;COMMERCIAL VEHICLES & TRUCKS;
SXNP;SXPIEQ;SXPIEQ;INDUSTRIAL MACHINERY;
SXNP;SIPTRA;SIPTRA;DELIVERY SERVICES;
SXNP;SIPTRA;SIPTRA;MARINE TRANSPORTATION;
SXNP;SIPTRA;SIPTRA;RAILROADS;
SXNP;SIPTRA;SIPTRA;TRANSPORTACION SERVICES;
SXNP;SIPTRA;SIPTRA;TRUCKING;
SXNP;SXPSVC;SXPSVC;BUSINESS SUPPORT SERVICES;
SXNP;SXPSVC;SXPSVC;BUSINESS TRAINING & EMPLYMENT;
